,Preço,Detalhes,Link
113,"R$ 335.000,00 "," UMA SUÍTE, DOIS DORMITÓRIOS, AMPLA SALA DOIS AMBIENTES, COZINHA, ÁREA DE SERVIÇO, DEPÓSITO E DESPENSA. UMA VAGA DE GARAGEM INDIVIDUAL. ÁREA PRIVADA DE 102,50M² E ÁREA TOTAL DE 155,00M² ",http://www.habitar.imb.br/imoveis/312056/edificio-imperatriz-402
114,"R$ 1.100,00 ", Apartamento mobiliado com aproximadamente 60m². ,http://www.habitar.imb.br/imoveis/306933/apartamento-305-edificio-schampion
115,"R$ 140.000,00 "," ULTIMO LOTE  DISPONÍVEL PARA CONSTRUÇÃO NA QUADRA.
450,24M² DE ÁREA TOTAL,  EXCELENTE PADRÃO DE CONSTRUÇÃO DE CASAS ENTORNO. ",http://www.habitar.imb.br/imoveis/305738/terreno-sao-luiz
116,"R$ 500,00 ", Quiosque localizado no Uno Shopping - Praça de alimentação. ,http://www.habitar.imb.br/imoveis/301936/quiosque-no--uno-shopping
117,"R$ 850.000,00 "," Excelente sobrado com 195,00 m².
Novo, decorado e semi mobiliado.
Piscina. Alto padrão de acabamento. ",http://www.habitar.imb.br/imoveis/296104/sobrado-alto-padrao-universitario---fraron
118,"R$ 140.000,00 "," APARTAMENTO DE FRENTE COM SACADA, CONTENDO UM DORMITÓRIO, SALA PARA DOIS AMBIENTES COM SACADA E UMA VAGA DE GARAGEM. ",http://www.habitar.imb.br/imoveis/292404/apartamento-edificio-j-paracena
119,R$ Consulte Valor ," APARTAMENTOS COM SUÍTE + DOIS DORMITÓRIOS E SUÍTE + UM DORMITÓRIO. 
VAGAS DE GARAGEM INDIVIDUAIS. ",http://www.habitar.imb.br/imoveis/281891/residencial-montese
120,R$ Consulte Valor ," UM APARTAMENTO POR ANDAR QUATRO SUÍTES, QUATRO VAGAS DE GARAGEM, ÁREA PRIVATIVA DE 345M² E ÁREA TOTAL DE 570M² ",http://www.habitar.imb.br/imoveis/281876/ed--vilson-amadori
121,"R$ 360.000,00 "," SOBRADO EM ÓTIMO PADRÃO DE ACABAMENTO.
COM 110,00m² DE ÁREA TOTAL, TERRENO TODO  MURADO COM 167,00m². ",http://www.habitar.imb.br/imoveis/239241/sobrado-fraron---lot--parzianello
122,R$ Consulte Valor ," CERCADO DE VIDA POR TODOS OS LADOS, LOTEAMENTO VILA MATILDE POSSUI: LOTES A PARTIR DE 360 M²; AO LADO DO BAIRRO  SÃO FRANCISCO; FINANCIAMENTO DIRETO COM A INCORPORADORA. CONSULTE VALOR.
 ",http://www.habitar.imb.br/imoveis/106017/loteamento-vila-matilde
123,R$ Consulte Valor ," APARTAMENTOS ALTO PADRÃO COM 03 SUÍTES E 02 VAGAS DE GARAGEM; AMPLA ÁREA DE LAZER COM SALÃO DE FESTAS, CINEMATECA, PLAYGROUND, ACADEMIA E PISCINA COBERTA. CONSULTE VALOR. ",http://www.habitar.imb.br/imoveis/105891/residencial-phoenix
124,"R$ 420.000,00 "," APARTAMENTO, COM TRÊS QUARTOS SENDO UMA SUÍTE, QUARTOS, SEMI NOVO DE FRENTE. ",http://www.habitar.imb.br/imoveis/421109/apartamento-ed--ignes-tomazi-piacentini
125,R$ Consulte Valor ," SUÍTE + 02 QUARTOS, SALA TV, SALA DE JANTAR E ESTAR, COZINHA, DESPENSA, DEPENDÊNCIA DE EMPREGADA COM BWC. PISO INFERIOR: ESCRITÓRIO, ADEGA COM CHURRASQUEIRA, ALMOXARIFADO, COZINHA, SALA DE FESTAS, GARAGEM, CHURRASQUEIRA, SOLARIUM COM SALA DE JOGOS, DEPÓSITO E PISCINA.
 ",http://www.habitar.imb.br/imoveis/82300/casa-bairro-bancarios
