,Anúncio Nº :,Bairro:,Banheiros:,CEP:,Calçada:,Categoria,Cidade:,Cobertura:,Construção:,Código do Imóvel:,Cômodos:,Distância Ponto de Ônibus:,Endereço:,Esgoto:,Estacionamento:,Estado:,Forro:,Iluminação Interna:,Lavabo:,Lavanderia:,Link,Metragem Barracão:,Metragem Terreno:,Metragem do Imóvel:,Nome do Edifício:,Número Lote:,Número Quadra:,Número de Suítes:,Número do Andar:,Número do Apto.:,Orientação Solar:,País:,Price:,Quartos:,Salas:,Tipo de Cercado:,Tipo de Garagem:,Tipo de Piso:,Topografia do Terreno:,Vagas de Garagam:,Valor Aprox. Condomínio:,Valor Aprox. IPTU:,Valor Aprox. Seguro:,Água:
47, 19557, Cristo Rei, 2, 85501-190, Paver,"
Loja", Pato Branco, Eternit, Alvenaria, 1271.045, 4, -- : --," Rua Antonio Ascari, esquina com Rua Domingos de Matos", -- : --, Sem Cobertura, Paraná, -- : --, -- : --, 1, -- : --,https://www.moretti.imb.br/imovel/ed-cristo-rei-loja-terrea-nova-ref-1271-045/, Área total aproximada 800 m2 (Loja Barracão Escritório depósito)," 2.214,75 m²", 180.00 m2, Cristo Rei, 005, 0149, -- : --, Térreo, 203, -- : --, Brasil, R$ 1.800 , 2, 04, -- : --, -- : --, Porcelanato, -- : --, -- : --, Sob consulta, Por conta do locatário, Sob consulta, Individual
48, 18725, Centro, 1, 85501-190, -- : --,"
Sala", Pato Branco, Eternit, -- : --, 1054.011, 4, 02 quadras," Rua Tapajós, 401", Rede de Esgoto, -- : --, Paraná, -- : --, -- : --, 1, -- : --,https://www.moretti.imb.br/imovel/ed-gomes-sala-comercial-central-ref-1054-011/, Área total aproximada 800 m2 (Loja Barracão Escritório depósito)," 2.214,75 m²", 40.00 m2, Gomes II, 005, 0149, -- : --, 01, Sala 15, -- : --, Brasil, R$ 450 , 2, 01, -- : --, Sem Garagem, Decorflex, -- : --, -- : --," Aprox. R$ 50,00", Por conta do locatário, Sob consulta, Coletiva
49, 18726, Centro, 1, 85501-190, -- : --,"
Sala", Pato Branco, Eternit, Alvenaria, 1054.008, 4, 02 quadras," Rua Tapajós, 401", -- : --, -- : --, Paraná, -- : --, -- : --, 1, -- : --,https://www.moretti.imb.br/imovel/ed-gomes-sala-comercial-central-ref-1054-008/, Área total aproximada 800 m2 (Loja Barracão Escritório depósito)," 2.214,75 m²", 40.00 m2, Gomes II, 005, 0149, -- : --, 02, Sala 25, -- : --, Brasil, R$ 450 , 2, 01, -- : --, Sem Garagem, Decorflex, -- : --, -- : --," Aprox. R$ 50,00", Por conta do locatário, Sob consulta, Coletiva
50, 19065, Centro, 2, 85501-052, Paver,"
Loja,", Pato Branco, Eternit, Alvenaria, 985.003, 4, 01 quadra," Rua Iguaçu, centro", Rede de Esgoto, Sem Cobertura, Paraná, -- : --, -- : --, 1, -- : --,https://www.moretti.imb.br/imovel/loja-terrea-em-construcao-previsao-de-entrega-ate-outubro-2019-centro-area-construida-de-600-m%c2%b2-com-08-vagas-de-garagem-a-50-metros-da-praca-central-ref-985-003/, Área total aproximada 800 m2 (Loja Barracão Escritório depósito)," 2.214,75 m²", 598.00 m2, Gomes II, 005, 0149, -- : --, Térreo, Sala 25, Frente para o SUL, Brasil, R$ 14.000 , 2, 01, -- : --, -- : --, Porcelanato, Terreno Plano, -- : --," Aprox. R$ 50,00", Sob consulta, Sob consulta, Individual
51, 19035, Centro, 3, 85501-065, Paver,"
Loja", Pato Branco, Eternit, Alvenaria, 1362.004, 4, 02 quadras," Avenida Tupi, 2628", Rede de Esgoto, -- : --, Paraná, Laje, -- : --, 1, -- : --,https://www.moretti.imb.br/imovel/ed-vivaldi-loja-terrea-na-area-central-com-811m%c2%b2-ref-1362-004/, Área total aproximada 800 m2 (Loja Barracão Escritório depósito)," 2.214,75 m²", 811.00 m2, Vivaldi, 005, 0149, -- : --, Térreo, Sala 25, Frente para o LESTE, Brasil, R$ 13.000 , 2, 01, -- : --, Sem Garagem, Porcelanato, -- : --, -- : --, A confirmar com Administração do Condomínio, Por conta do locatário, Sob consulta, Individual
52, 18728, Centro, 2, 85501-062, Paver,"
Sala", Pato Branco, Eternit, -- : --, 1037, 4, 02 quadras," Rua Iguaçu, 475, Salas 405 e 406", Rede de Esgoto, -- : --, Paraná, Laje, -- : --, 1, -- : --,https://www.moretti.imb.br/imovel/ed-cci-sala-comercial-central-proximo-a-praca-getulio-vargas-ref-1037/, Área total aproximada 800 m2 (Loja Barracão Escritório depósito)," 2.214,75 m²", 130.00 m2, CCI, 005, 0149, -- : --, 04, Salas 405 e 406, -- : --, Brasil, R$ 1.500 , 2, 04, -- : --, Sem Garagem, Madeira e Cerâmica, -- : --, -- : --," Aprox. R$ 500,00", Por conta do locatário, Sob consulta, Coletiva
53, 18729," Centro, Sambugaro, Trevo da Guarany", 2, 85501-025, -- : --,"
Barracão,", Pato Branco, Aço zincado, Alvenaria, 1362.005, 4, 03 quadras," Rua Paraná, 1463", -- : --, Sem Cobertura, Paraná, -- : --, -- : --, 1, -- : --,https://www.moretti.imb.br/imovel/dois-barracoes-area-total-1600-m2-aproximada-amplo-estacionamento-ref-1362-005/, Área aproximada de 1450 m², 2900 M²," 1,600.00 m2", CCI, 006, 1106, -- : --, Térreo, Salas 405 e 406, Frente para o NORTE, Brasil, R$ 12.000 , 2, 04, Muro com Cerca Metálica, -- : --, -- : --, Terreno Plano, -- : --," Aprox. R$ 500,00", Por conta do locatário, Sob consulta, Individual
54, 18723, Centro, 1, 85501-025, Paver,"
Sala", Pato Branco, Aço zincado, -- : --, 141.008, 4, 02 quadras," Rua Arariboia, 200", -- : --, Sem Cobertura, Paraná, -- : --, -- : --, 1, -- : --,https://www.moretti.imb.br/imovel/edif-zamberlan-sala-comercial-em-area-central-ref-141-008/, Área aproximada de 1450 m², 2900 M², 50.00 m2, Zamberlan, 006, 1106, -- : --, 02, Sala 04, Frente para o NORTE, Brasil, R$ 650 , 2," 03 ambientes, divisórias de madeiras.", -- : --, Privativa, Cerâmica, -- : --, -- : --," Aprox. R$ 100,00", Por conta do locatário, Sob consulta, Individual
55, 18727, Centro, 4, 85501-025, -- : --,"
Andar", Pato Branco, Aço zincado, -- : --, 1054.004, 4, 01 quadra," Rua Tapajós, 401", Rede de Esgoto, -- : --, Paraná, -- : --, -- : --, 1, -- : --,https://www.moretti.imb.br/imovel/edif-gomes-sala-comercial-central-ref-1054-004/, Área aproximada de 1450 m², 2900 M², 200.00 m2, Gomes II, 006, 1106, 04, 03," Salas 31, 32, 33, 34", Frente para o LESTE, Brasil, R$ 1.600 , 2, 04, -- : --, Sem Garagem, Decorflex, -- : --, -- : --," Aprox. R$ 200,00", Por conta do locatário, Sob consulta, Coletiva
56, 18724, Centro, 2, 85501-025, -- : --,"
Andar", Pato Branco, Aço zincado, -- : --, 1054.010, 5, 02 quadras," Rua Tapajós, 401", Rede de Esgoto, -- : --, Paraná, -- : --, -- : --, 1, -- : --,https://www.moretti.imb.br/imovel/edif-gomes-sala-comercial-central-ref-1054-010/, Área aproximada de 1450 m², 2900 M², 100.00 m2, Gomes II, 006, 1106, -- : --, 03," Salas 35, 36, 37", Frente para o OESTE, Brasil, R$ 1.350 , 2, 03, -- : --, Sem Garagem, Decorflex, -- : --, -- : --," Aprox. R$ 150,00", Por conta do locatário, Sob consulta, Coletiva
57, 18722, Centro, 1, 85501-025, Paver,"
Sala", Pato Branco, Aço zincado, Alvenaria, 850.005, 5, 02 quadras," Rua Pedro Ramires de Mello, 21", Rede de Esgoto, -- : --, Paraná, Laje, -- : --, 1, -- : --,https://www.moretti.imb.br/imovel/galeria-belmira-cavazzola-sala-comercial-1o-andar-central-em-frente-a-praca-getulio-vargas-ref-850-005/, Área aproximada de 1450 m², 2900 M², 71.00 m2, Galeria Belmira Cavazzola, 006, 1106, -- : --, 01, Sala 05, Frente para o OESTE, Brasil, R$ 850 , 2, 01, -- : --, Sem Garagem, Cerâmica, -- : --, -- : --," Aprox. R$ 150,00", Por conta do locatário, Sob consulta, Coletiva
58, 18721, Centro, 1, 85501-025, -- : --,"
Sala", Pato Branco, Aço zincado, -- : --, 850.005, 5, 02 quadras," Rua Pedro Ramires de Mello, 21", Rede de Esgoto, -- : --, Paraná, -- : --, -- : --, 1, -- : --,https://www.moretti.imb.br/imovel/galeria-belmira-cavazzola-sala-comercial-1o-andar-central-em-frente-a-praca-getulio-vargas-ref-850-002/, Área aproximada de 1450 m², 2900 M², 73.00 m2, Galeria Belmira Cavazzola, 006, 1106, -- : --, 01, Sala 04, Frente para o OESTE, Brasil, R$ 850 , 2, 01, -- : --, Sem Garagem, Cerâmica, -- : --, -- : --," Aprox. R$ 150,00", Por conta do locatário, Sob consulta, Coletiva
59, 18718, Santa Terezinha, 2, 85501-025, Paver,"
Sala", Pato Branco, Aço zincado, Alvenaria, 1091, 5, 03 quadras," Rua Visconde de Tamandaré, 269", Rede de Esgoto, -- : --, Paraná, -- : --, -- : --, 1, -- : --,https://www.moretti.imb.br/imovel/edif-jardim-boungainville-centro-de-profissionais-na-area-de-saude-ref-1091/, Área aproximada de 1450 m², 2900 M², 20.00 m2, Jardim Bougainville, 006, 1106, -- : --, 01, Sala 03, -- : --, Brasil, R$ 600 , 2, 01, -- : --, Sem Garagem, Porcelanato, -- : --, -- : --," Aprox. R$ 230,00", Por conta do locatário, Sob consulta, Coletiva
60, 18717, Santa Terezinha, 1, 85501-025, Paver,"
Sala", Pato Branco, Aço zincado, Alvenaria, 1088, 5, 03 quadras," Rua Visconde de Tamandaré, 269", -- : --, -- : --, Paraná, -- : --, -- : --, 1, -- : --,https://www.moretti.imb.br/imovel/edif-jardim-boungainville-centro-de-profissionais-na-area-de-saude-ref-1088/, Área aproximada de 1450 m², 2900 M², 20.00 m2, Jardim Bougainville, 006, 1106, -- : --, 01, Sala 05, -- : --, Brasil, R$ 600 , 2, 01, -- : --, Sem Garagem, Porcelanato, -- : --, -- : --," Aprox. R$ 230,00", Por conta do locatário, Sob consulta, Coletiva
61, 18710, Centro, 1, 85501-025, -- : --,"
Conjunto,", Pato Branco, Aço zincado, Alvenaria, 850.004, 5, 03 quadras," Rua Pedro Ramires de Mello, 21", Rede de Esgoto, -- : --, Paraná, Laje, -- : --, 1, -- : --,https://www.moretti.imb.br/imovel/galeria-belmira-cavazzola-sala-comercial-1o-andar-central-em-frente-a-praca-getulio-vargas-ref-850-004/, Área aproximada de 1450 m², 2900 M², 73.00 m2, Galeria Dona Belmira Cavazola, 006, 1106, -- : --, 01, Sala 02, Frente para o SUL, Brasil, R$ 850 , 2, 01 ampla, -- : --, Sem Garagem, Cerâmica, -- : --, -- : --,"  Aprox. 150,00", Por conta do locatário, Sob consulta, Coletiva
62, 18704, Brasília, 1, 85501-025, Cimento,"
Casa,", Pato Branco, Aço zincado, Alvenaria, 162.019, 5, 05 quadras," Brasilia, 815", Rede de Esgoto, -- : --, Paraná, Madeira, -- : --, 1, Sim,https://www.moretti.imb.br/imovel/casa-de-alvenaria-no-bairro-brasilia-ref-162-019/, Área aproximada de 1450 m², 2900 M², 70.00 m2, Galeria Dona Belmira Cavazola, 006, 1106, -- : --, -- : --, Sala 02, Frente para o SUL, Brasil, R$ 830 , 2, Sim, Cerca Metálica, Compartilhada, Cerâmica, Não se aplica a este imóvel, 01,"  Aprox. 150,00", Por conta do locatário," R$ 50,00", Coletiva
63, 18698, São Francisco, 2, 85501-025, Paver,"
Apartamento,", Pato Branco, Aço zincado, Alvenaria, 1271.046, 5, 02 quadras," Rua Vitorino Tiocheta, 464", -- : --, -- : --, Paraná, Laje, -- : --, 1, Sim,https://www.moretti.imb.br/imovel/cond-dona-ermelinda-duplex-com-2-suites-ref-1271-046/, Área aproximada de 1450 m², 2900 M², 126.00 m2, Dona Ermelinda, 006, 1106, 02, Térreo, 4, Frente para o OESTE, Brasil, Oferta de R$ 1.150 por  R$ 1.050 , 2, Conjugada com cozinha., -- : --, Privativa, Porcelanato, -- : --, 01," 25,00", Por conta do locatário," 56,00", Individual
64, 18716, Santa Terezinha, 2, 85501-025, Paver,"
Sala", Pato Branco, Aço zincado, -- : --, 1089, 5, 03 quadras," Rua Visconde de Tamandaré, 269", Rede de Esgoto, -- : --, Paraná, -- : --, -- : --, 1, -- : --,https://www.moretti.imb.br/imovel/edif-jardim-boungainville-centro-de-profissionais-na-area-de-saude-ref-1089/, Área aproximada de 1450 m², 2900 M², 20.00 m2, Jardim Bougainville, 006, 1106, -- : --, 01, Sala 02, -- : --, Brasil, R$ 600 , 2, 01, -- : --, Sem Garagem, Porcelanato, -- : --, -- : --," Aprox. 230,00", Por conta do locatário, Sob consulta, Coletiva
